portion_replicate,portions
10.0% - #1,"[0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 1]"
10.0% - #2,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0]"
10.0% - #3,"[1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
10.0% - #4,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3, 0]"
10.0% - #5,"[0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
10.0% - #6,"[2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2]"
10.0% - #7,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
10.0% - #8,"[0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1]"
10.0% - #9,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
10.0% - #10,"[3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
10.0% - #11,"[0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 0]"
10.0% - #12,"[0, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0]"
10.0% - #13,"[0, 0, 0, 2, 0, 0, 1, 3, 0, 0, 0, 0]"
10.0% - #14,"[1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 0]"
10.0% - #15,"[1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
10.0% - #16,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
10.0% - #17,"[1, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0]"
10.0% - #18,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0]"
10.0% - #19,"[0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 1]"
10.0% - #20,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 2, 0]"
10.0% - #21,"[0, 2, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]"
10.0% - #22,"[1, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
10.0% - #23,"[0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1]"
10.0% - #24,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
10.0% - #25,"[0, 0, 0, 2, 0, 1, 0, 0, 2, 0, 1, 0]"
10.0% - #26,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
10.0% - #27,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
10.0% - #28,"[3, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
10.0% - #29,"[1, 0, 0, 0, 1, 0, 3, 0, 1, 0, 0, 0]"
10.0% - #30,"[0, 2, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0]"
10.0% - #31,"[0, 1, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0]"
10.0% - #32,"[0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0, 1]"
10.0% - #33,"[2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
10.0% - #34,"[1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1]"
10.0% - #35,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 1]"
10.0% - #36,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]"
10.0% - #37,"[0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 0]"
10.0% - #38,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
10.0% - #39,"[0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
10.0% - #40,"[1, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0]"
10.0% - #41,"[0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 1, 0]"
10.0% - #42,"[0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 2, 0]"
10.0% - #43,"[0, 1, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0]"
10.0% - #44,"[0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
10.0% - #45,"[1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0]"
10.0% - #46,"[0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0]"
10.0% - #47,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]"
10.0% - #48,"[0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 1, 0]"
10.0% - #49,"[0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 1, 0]"
10.0% - #50,"[1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0]"
10.0% - #51,"[0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
10.0% - #52,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2]"
10.0% - #53,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0]"
10.0% - #54,"[2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0]"
10.0% - #55,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0]"
10.0% - #56,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 2]"
10.0% - #57,"[0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 2]"
10.0% - #58,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 0]"
10.0% - #59,"[1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0]"
10.0% - #60,"[4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
10.0% - #61,"[0, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
10.0% - #62,"[0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1]"
10.0% - #63,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0]"
10.0% - #64,"[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 1]"
10.0% - #65,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1]"
10.0% - #66,"[0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3]"
10.0% - #67,"[0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
10.0% - #68,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
10.0% - #69,"[0, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0, 0]"
